Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,Sulphur dioxide,Status,Sulphur dioxide,Status
22/05/1998,57,V ugm-3,1,V ugm-3,8,V ugm-3,9,V ugm-3,No data,,6,V ugm-3
23/05/1998,55,V ugm-3,0,V ugm-3,9,V ugm-3,10,V ugm-3,No data,,6,V ugm-3
24/05/1998,48,V ugm-3,1,V ugm-3,8,V ugm-3,8,V ugm-3,No data,,3,V ugm-3
25/05/1998,44,V ugm-3,0,V ugm-3,7,V ugm-3,7,V ugm-3,No data,,1,V ugm-3
26/05/1998,52,V ugm-3,1,V ugm-3,6,V ugm-3,6,V ugm-3,No data,,2,V ugm-3
27/05/1998,48,V ugm-3,0,V ugm-3,7,V ugm-3,7,V ugm-3,No data,,2,V ugm-3
28/05/1998,51,V ugm-3,0,V ugm-3,7,V ugm-3,7,V ugm-3,No data,,3,V ugm-3
29/05/1998,52,V ugm-3,1,V ugm-3,13,V ugm-3,14,V ugm-3,No data,,3,V ugm-3
30/05/1998,67,V ugm-3,2,V ugm-3,12,V ugm-3,14,V ugm-3,No data,,2,V ugm-3
31/05/1998,68,V ugm-3,0,V ugm-3,8,V ugm-3,8,V ugm-3,No data,,2,V ugm-3
01/06/1998,56,V ugm-3,1,V ugm-3,12,V ugm-3,14,V ugm-3,No data,,2,V ugm-3
02/06/1998,59,V ugm-3,1,V ugm-3,11,V ugm-3,12,V ugm-3,No data,,0,V ugm-3
03/06/1998,65,V ugm-3,1,V ugm-3,9,V ugm-3,10,V ugm-3,No data,,0,V ugm-3
04/06/1998,52,V ugm-3,0,V ugm-3,6,V ugm-3,6,V ugm-3,No data,,0,V ugm-3
05/06/1998,58,V ugm-3,0,V ugm-3,6,V ugm-3,7,V ugm-3,No data,,0,V ugm-3
06/06/1998,62,V ugm-3,0,V ugm-3,12,V ugm-3,13,V ugm-3,No data,,2,V ugm-3
07/06/1998,56,V ugm-3,0,V ugm-3,6,V ugm-3,6,V ugm-3,No data,,0,V ugm-3
08/06/1998,50,V ugm-3,1,V ugm-3,10,V ugm-3,11,V ugm-3,No data,,1,V ugm-3
09/06/1998,44,V ugm-3,1,V ugm-3,7,V ugm-3,8,V ugm-3,No data,,0,V ugm-3
10/06/1998,40,V ugm-3,1,V ugm-3,11,V ugm-3,12,V ugm-3,No data,,0,V ugm-3
11/06/1998,37,V ugm-3,1,V ugm-3,8,V ugm-3,9,V ugm-3,No data,,1,V ugm-3
12/06/1998,40,V ugm-3,1,V ugm-3,10,V ugm-3,12,V ugm-3,No data,,4,V ugm-3
13/06/1998,38,V ugm-3,1,V ugm-3,13,V ugm-3,14,V ugm-3,No data,,3,V ugm-3
14/06/1998,38,V ugm-3,1,V ugm-3,9,V ugm-3,10,V ugm-3,No data,,1,V ugm-3
15/06/1998,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3
16/06/1998,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3
17/06/1998,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3
18/06/1998,22,V ugm-3,2,V ugm-3,14,V ugm-3,18,V ugm-3,No data,,1,V ugm-3
19/06/1998,30,V ugm-3,2,V ugm-3,13,V ugm-3,17,V ugm-3,No data,,1,V ugm-3
